,alpha,baseline_accuracy,data_source,gap,number of features,number_of_classes,objective_value,testing_accuracy,testing_instances,training_accuracy,training_instances,training_time_sec,tree,tree_depth
0,0.0,0.8933333333333333,https://archive.ics.uci.edu/ml/machine-learning-databases/00244/fertility_Diagnosis.txt,0.0,9,2,7.835820895522389,0.56,25,0.9066666666666666,75,47.681991,"node_1
Branch node
applies a split: True
splits on: 1
split value: 0.3799999999999999
*****
node_2
Branch node
applies a split: True
splits on: 6
split value: 0.75
*****
node_3
Branch node
applies a split: True
splits on: 6
split value: 0.0
*****
node_4
Leaf Node: True 
label: 1
*****
node_5
Leaf Node: True 
label: 0
*****
node_6
Leaf Node: True 
label: None
*****
node_7
Leaf Node: True 
label: 0
*****
",2
1,0.0,0.8666666666666667,https://archive.ics.uci.edu/ml/machine-learning-databases/00244/fertility_Diagnosis.txt,0.0,9,2,11.538461538461537,0.92,25,0.8666666666666667,75,44.495545,"node_1
Branch node
applies a split: False
splits on: None
split value: None
*****
node_2
Branch node
applies a split: False
splits on: None
split value: None
*****
node_3
Branch node
applies a split: False
splits on: None
split value: None
*****
node_4
Leaf Node: True 
label: None
*****
node_5
Leaf Node: True 
label: None
*****
node_6
Leaf Node: True 
label: None
*****
node_7
Leaf Node: True 
label: 0
*****
",2
2,0.0,0.88,https://archive.ics.uci.edu/ml/machine-learning-databases/00244/fertility_Diagnosis.txt,0.0,9,2,10.227272727272728,0.88,25,0.88,75,46.644875,"node_1
Branch node
applies a split: False
splits on: None
split value: None
*****
node_2
Branch node
applies a split: False
splits on: None
split value: None
*****
node_3
Branch node
applies a split: False
splits on: None
split value: None
*****
node_4
Leaf Node: True 
label: None
*****
node_5
Leaf Node: True 
label: None
*****
node_6
Leaf Node: True 
label: None
*****
node_7
Leaf Node: True 
label: 0
*****
",2
3,0.5,0.8533333333333334,https://archive.ics.uci.edu/ml/machine-learning-databases/00244/fertility_Diagnosis.txt,0.0,9,2,12.71875,0.88,25,0.8666666666666667,75,384.270915,"node_1
Branch node
applies a split: True
splits on: 2
split value: 0.03191489361702127
*****
node_2
Branch node
applies a split: True
splits on: 6
split value: 0.5319148936170213
*****
node_3
Branch node
applies a split: False
splits on: None
split value: None
*****
node_4
Leaf Node: True 
label: 1
*****
node_5
Leaf Node: True 
label: 0
*****
node_6
Leaf Node: True 
label: None
*****
node_7
Leaf Node: True 
label: 0
*****
",2
4,0.5,0.8933333333333333,https://archive.ics.uci.edu/ml/machine-learning-databases/00244/fertility_Diagnosis.txt,0.0,9,2,8.835820895522389,0.76,25,0.9066666666666666,75,245.525905,"node_1
Branch node
applies a split: True
splits on: 2
split value: 0.03191489361702127
*****
node_2
Branch node
applies a split: True
splits on: 7
split value: 0.031914893617023266
*****
node_3
Branch node
applies a split: False
splits on: None
split value: None
*****
node_4
Leaf Node: True 
label: 0
*****
node_5
Leaf Node: True 
label: 1
*****
node_6
Leaf Node: True 
label: None
*****
node_7
Leaf Node: True 
label: 0
*****
",2
5,0.5,0.8933333333333333,https://archive.ics.uci.edu/ml/machine-learning-databases/00244/fertility_Diagnosis.txt,0.0,9,2,8.955223880597016,0.84,25,0.8933333333333333,75,167.708227,"node_1
Branch node
applies a split: False
splits on: None
split value: None
*****
node_2
Branch node
applies a split: False
splits on: None
split value: None
*****
node_3
Branch node
applies a split: False
splits on: None
split value: None
*****
node_4
Leaf Node: True 
label: None
*****
node_5
Leaf Node: True 
label: None
*****
node_6
Leaf Node: True 
label: None
*****
node_7
Leaf Node: True 
label: 0
*****
",2
6,1.0,0.8666666666666667,https://archive.ics.uci.edu/ml/machine-learning-databases/00244/fertility_Diagnosis.txt,6.344171287672396e-05,9,2,11.538461538461537,0.92,25,0.8666666666666667,75,153.491188,"node_1
Branch node
applies a split: False
splits on: None
split value: None
*****
node_2
Branch node
applies a split: False
splits on: None
split value: None
*****
node_3
Branch node
applies a split: False
splits on: None
split value: None
*****
node_4
Leaf Node: True 
label: None
*****
node_5
Leaf Node: True 
label: None
*****
node_6
Leaf Node: True 
label: None
*****
node_7
Leaf Node: True 
label: 0
*****
",2
7,1.0,0.88,https://archive.ics.uci.edu/ml/machine-learning-databases/00244/fertility_Diagnosis.txt,0.0,9,2,10.227272727272728,0.88,25,0.88,75,130.733753,"node_1
Branch node
applies a split: False
splits on: None
split value: None
*****
node_2
Branch node
applies a split: False
splits on: None
split value: None
*****
node_3
Branch node
applies a split: False
splits on: None
split value: None
*****
node_4
Leaf Node: True 
label: None
*****
node_5
Leaf Node: True 
label: None
*****
node_6
Leaf Node: True 
label: None
*****
node_7
Leaf Node: True 
label: 0
*****
",2
8,1.0,0.8933333333333333,https://archive.ics.uci.edu/ml/machine-learning-databases/00244/fertility_Diagnosis.txt,0.0,9,2,8.955223880597016,0.84,25,0.8933333333333333,75,16.85414,"node_1
Branch node
applies a split: False
splits on: None
split value: None
*****
node_2
Branch node
applies a split: False
splits on: None
split value: None
*****
node_3
Branch node
applies a split: False
splits on: None
split value: None
*****
node_4
Leaf Node: True 
label: None
*****
node_5
Leaf Node: True 
label: None
*****
node_6
Leaf Node: True 
label: None
*****
node_7
Leaf Node: True 
label: 0
*****
",2
9,1.5,0.8933333333333333,https://archive.ics.uci.edu/ml/machine-learning-databases/00244/fertility_Diagnosis.txt,0.0,9,2,8.955223880597016,0.84,25,0.8933333333333333,75,28.158156,"node_1
Branch node
applies a split: False
splits on: None
split value: None
*****
node_2
Branch node
applies a split: False
splits on: None
split value: None
*****
node_3
Branch node
applies a split: False
splits on: None
split value: None
*****
node_4
Leaf Node: True 
label: None
*****
node_5
Leaf Node: True 
label: None
*****
node_6
Leaf Node: True 
label: None
*****
node_7
Leaf Node: True 
label: 0
*****
",2
