alpha,gap,objective_value,testing_accuracy,testing_instances,training_accuracy,training_instances,number_of_classes,number of features,baseline_accuracy
0.0,0.0,9.867185053752216,0.7866666666666666,25,0.8844444444444445,75,2,9,0.88
0.5,0.0,10.169931592039802,0.8266666666666667,25,0.888888888888889,75,2,9,0.8799999999999999
1.0,2.1147237625574656e-05,10.240319382110426,0.88,25,0.8799999999999999,75,2,9,0.8799999999999999
1.5,0.0,9.80325644504749,0.8666666666666667,25,0.8844444444444445,75,2,9,0.8844444444444445
2.0,0.0,9.828774167009458,0.8666666666666667,25,0.8844444444444445,75,2,9,0.8844444444444445
2.5,0.0,11.128103473019516,0.9066666666666666,25,0.8711111111111111,75,2,9,0.8711111111111111
3.0,0.0,9.391711229946523,0.8533333333333334,25,0.8888888888888888,75,2,9,0.8888888888888888
3.5,0.0,10.664335664335661,0.8933333333333334,25,0.8755555555555556,75,2,9,0.8755555555555556
4.0,0.0,11.115056818181818,0.9066666666666666,25,0.8711111111111111,75,2,9,0.8711111111111111
4.5,0.0,10.664335664335661,0.8933333333333334,25,0.8755555555555555,75,2,9,0.8755555555555555
5.0,0.0,12.002840909090908,0.9333333333333332,25,0.8622222222222223,75,2,9,0.8622222222222223
