,alpha,baseline_accuracy,data_source,gap,number of features,number_of_classes,objective_value,testing_accuracy,testing_instances,training_accuracy,training_instances,training_time_sec,tree,tree_depth
0,0.5,0.3392857142857143,http://archive.ics.uci.edu/ml/machine-learning-databases/iris/iris.data,0.0,4,3,6.894736842105263,0.8947368421052632,38,0.9017857142857143,112,15.045015,"node_1
Branch node
applies a split: True
splits on: 2
split value: 0.1694915254237255
*****
node_2
Branch node
applies a split: False
splits on: None
split value: None
*****
node_3
Branch node
applies a split: True
splits on: 3
split value: 0.7083333333333344
*****
node_4
Leaf Node: True 
label: None
*****
node_5
Leaf Node: True 
label: 0
*****
node_6
Leaf Node: True 
label: 1
*****
node_7
Leaf Node: True 
label: 2
*****
",2
1,0.5,0.3392857142857143,http://archive.ics.uci.edu/ml/machine-learning-databases/iris/iris.data,0.0,4,3,6.894736842105263,0.8947368421052632,38,0.9017857142857143,112,14.90682,"node_1
Branch node
applies a split: True
splits on: 2
split value: 0.1694915254237255
*****
node_2
Branch node
applies a split: False
splits on: None
split value: None
*****
node_3
Branch node
applies a split: True
splits on: 3
split value: 0.7083333333333344
*****
node_4
Leaf Node: True 
label: None
*****
node_5
Leaf Node: True 
label: 0
*****
node_6
Leaf Node: True 
label: 1
*****
node_7
Leaf Node: True 
label: 2
*****
",2
2,0.5,0.3392857142857143,http://archive.ics.uci.edu/ml/machine-learning-databases/iris/iris.data,0.0,4,3,6.894736842105263,0.8947368421052632,38,0.9017857142857143,112,14.875166,"node_1
Branch node
applies a split: True
splits on: 2
split value: 0.1694915254237255
*****
node_2
Branch node
applies a split: False
splits on: None
split value: None
*****
node_3
Branch node
applies a split: True
splits on: 3
split value: 0.7083333333333344
*****
node_4
Leaf Node: True 
label: None
*****
node_5
Leaf Node: True 
label: 0
*****
node_6
Leaf Node: True 
label: 1
*****
node_7
Leaf Node: True 
label: 2
*****
",2
3,1.0,0.3392857142857143,http://archive.ics.uci.edu/ml/machine-learning-databases/iris/iris.data,0.0,4,3,7.894736842105263,0.868421052631579,38,0.9821428571428571,112,11.767845,"node_1
Branch node
applies a split: True
splits on: 3
split value: 0.22528248587570615
*****
node_2
Branch node
applies a split: False
splits on: None
split value: None
*****
node_3
Branch node
applies a split: True
splits on: 3
split value: 0.6419491525423731
*****
node_4
Leaf Node: True 
label: None
*****
node_5
Leaf Node: True 
label: 0
*****
node_6
Leaf Node: True 
label: 1
*****
node_7
Leaf Node: True 
label: 2
*****
",2
4,1.0,0.3392857142857143,http://archive.ics.uci.edu/ml/machine-learning-databases/iris/iris.data,0.0,4,3,7.894736842105263,0.868421052631579,38,0.9821428571428571,112,11.706834,"node_1
Branch node
applies a split: True
splits on: 3
split value: 0.22528248587570615
*****
node_2
Branch node
applies a split: False
splits on: None
split value: None
*****
node_3
Branch node
applies a split: True
splits on: 3
split value: 0.6419491525423731
*****
node_4
Leaf Node: True 
label: None
*****
node_5
Leaf Node: True 
label: 0
*****
node_6
Leaf Node: True 
label: 1
*****
node_7
Leaf Node: True 
label: 2
*****
",2
5,1.0,0.3392857142857143,http://archive.ics.uci.edu/ml/machine-learning-databases/iris/iris.data,0.0,4,3,7.894736842105263,0.868421052631579,38,0.9821428571428571,112,11.724325,"node_1
Branch node
applies a split: True
splits on: 3
split value: 0.22528248587570615
*****
node_2
Branch node
applies a split: False
splits on: None
split value: None
*****
node_3
Branch node
applies a split: True
splits on: 3
split value: 0.6419491525423731
*****
node_4
Leaf Node: True 
label: None
*****
node_5
Leaf Node: True 
label: 0
*****
node_6
Leaf Node: True 
label: 1
*****
node_7
Leaf Node: True 
label: 2
*****
",2
6,2.0,0.3392857142857143,http://archive.ics.uci.edu/ml/machine-learning-databases/iris/iris.data,0.0,4,3,9.894736842105264,0.8947368421052632,38,0.8482142857142857,112,221.535515,"node_1
Branch node
applies a split: True
splits on: 3
split value: 0.3750000000000022
*****
node_2
Branch node
applies a split: False
splits on: None
split value: None
*****
node_3
Branch node
applies a split: True
splits on: 3
split value: 0.7083333333333379
*****
node_4
Leaf Node: True 
label: None
*****
node_5
Leaf Node: True 
label: 0
*****
node_6
Leaf Node: True 
label: 1
*****
node_7
Leaf Node: True 
label: 2
*****
",2
7,2.0,0.3392857142857143,http://archive.ics.uci.edu/ml/machine-learning-databases/iris/iris.data,0.0,4,3,9.894736842105264,0.8947368421052632,38,0.8482142857142857,112,219.970647,"node_1
Branch node
applies a split: True
splits on: 3
split value: 0.3750000000000022
*****
node_2
Branch node
applies a split: False
splits on: None
split value: None
*****
node_3
Branch node
applies a split: True
splits on: 3
split value: 0.7083333333333379
*****
node_4
Leaf Node: True 
label: None
*****
node_5
Leaf Node: True 
label: 0
*****
node_6
Leaf Node: True 
label: 1
*****
node_7
Leaf Node: True 
label: 2
*****
",2
8,2.0,0.3392857142857143,http://archive.ics.uci.edu/ml/machine-learning-databases/iris/iris.data,0.0,4,3,9.894736842105264,0.8947368421052632,38,0.8482142857142857,112,220.558289,"node_1
Branch node
applies a split: True
splits on: 3
split value: 0.3750000000000022
*****
node_2
Branch node
applies a split: False
splits on: None
split value: None
*****
node_3
Branch node
applies a split: True
splits on: 3
split value: 0.7083333333333379
*****
node_4
Leaf Node: True 
label: None
*****
node_5
Leaf Node: True 
label: 0
*****
node_6
Leaf Node: True 
label: 1
*****
node_7
Leaf Node: True 
label: 2
*****
",2
9,2.5,0.3392857142857143,http://archive.ics.uci.edu/ml/machine-learning-databases/iris/iris.data,0.0,4,3,10.894736842105264,0.8947368421052632,38,0.9017857142857143,112,13.97614,"node_1
Branch node
applies a split: True
splits on: 3
split value: 0.7083333333333361
*****
node_2
Branch node
applies a split: True
splits on: 2
split value: 0.1694915254237277
*****
node_3
Branch node
applies a split: False
splits on: None
split value: None
*****
node_4
Leaf Node: True 
label: 0
*****
node_5
Leaf Node: True 
label: 1
*****
node_6
Leaf Node: True 
label: None
*****
node_7
Leaf Node: True 
label: 2
*****
",2
