,alpha,baseline_accuracy,data_source,gap,number of features,number_of_classes,objective_value,testing_accuracy,testing_instances,training_accuracy,training_instances,training_time_sec,tree,tree_depth
0,0.0,0.3392857142857143,http://archive.ics.uci.edu/ml/machine-learning-databases/iris/iris.data,0.0,4,3,11.789473684210526,0.9473684210526315,38,0.9642857142857143,112,22.378731,"node_1
Branch node
applies a split: True
splits on: 3
split value: 0.6842105263157894
*****
node_2
Branch node
applies a split: True
splits on: 2
split value: 0.17543859649122792
*****
node_3
Branch node
applies a split: True
splits on: 2
split value: 0.7368421052631576
*****
node_4
Leaf Node: True 
label: 0
*****
node_5
Leaf Node: True 
label: 1
*****
node_6
Leaf Node: True 
label: 2
*****
node_7
Leaf Node: True 
label: 2
*****
",2
1,0.0,0.4017857142857143,http://archive.ics.uci.edu/ml/machine-learning-databases/iris/iris.data,0.0,4,3,12.444444444444445,0.9736842105263158,38,0.8928571428571429,112,20.17212,"node_1
Branch node
applies a split: True
splits on: 3
split value: 0.39254385964912164
*****
node_2
Branch node
applies a split: True
splits on: 3
split value: 0.3750000000000051
*****
node_3
Branch node
applies a split: True
splits on: 3
split value: 0.6842105263157894
*****
node_4
Leaf Node: True 
label: 0
*****
node_5
Leaf Node: True 
label: 1
*****
node_6
Leaf Node: True 
label: 1
*****
node_7
Leaf Node: True 
label: 2
*****
",2
2,0.0,0.375,http://archive.ics.uci.edu/ml/machine-learning-databases/iris/iris.data,0.0,4,3,13.333333333333332,0.9736842105263158,38,0.9553571428571429,112,36.12735,"node_1
Branch node
applies a split: True
splits on: 3
split value: 0.6666666666666662
*****
node_2
Branch node
applies a split: True
splits on: 3
split value: 0.2258771929824507
*****
node_3
Branch node
applies a split: True
splits on: 2
split value: 0.6842105263157999
*****
node_4
Leaf Node: True 
label: 0
*****
node_5
Leaf Node: True 
label: 1
*****
node_6
Leaf Node: True 
label: 2
*****
node_7
Leaf Node: True 
label: 2
*****
",2
3,0.5,0.3482142857142857,http://archive.ics.uci.edu/ml/machine-learning-databases/iris/iris.data,0.0,4,3,9.615384615384615,0.9473684210526315,38,0.9732142857142857,112,15.40568,"node_1
Branch node
applies a split: True
splits on: 2
split value: 0.6727272727272728
*****
node_2
Branch node
applies a split: True
splits on: 3
split value: 0.22651515151515172
*****
node_3
Branch node
applies a split: False
splits on: None
split value: None
*****
node_4
Leaf Node: True 
label: 0
*****
node_5
Leaf Node: True 
label: 1
*****
node_6
Leaf Node: True 
label: None
*****
node_7
Leaf Node: True 
label: 2
*****
",2
4,0.5,0.3482142857142857,http://archive.ics.uci.edu/ml/machine-learning-databases/iris/iris.data,0.0,4,3,15.35897435897436,0.9736842105263158,38,0.8839285714285714,112,36.126414,"node_1
Branch node
applies a split: True
splits on: 3
split value: 0.375
*****
node_2
Branch node
applies a split: False
splits on: None
split value: None
*****
node_3
Branch node
applies a split: True
splits on: 3
split value: 0.7083333333333339
*****
node_4
Leaf Node: True 
label: None
*****
node_5
Leaf Node: True 
label: 0
*****
node_6
Leaf Node: True 
label: 1
*****
node_7
Leaf Node: True 
label: 2
*****
",2
5,0.5,0.36607142857142855,http://archive.ics.uci.edu/ml/machine-learning-databases/iris/iris.data,0.0,4,3,14.658536585365855,0.7631578947368421,38,0.9464285714285714,112,22.991702,"node_1
Branch node
applies a split: True
splits on: 2
split value: 0.33898305084745783
*****
node_2
Branch node
applies a split: False
splits on: None
split value: None
*****
node_3
Branch node
applies a split: True
splits on: 2
split value: 0.6610169491525423
*****
node_4
Leaf Node: True 
label: None
*****
node_5
Leaf Node: True 
label: 0
*****
node_6
Leaf Node: True 
label: 1
*****
node_7
Leaf Node: True 
label: 2
*****
",2
6,1.0,0.35714285714285715,http://archive.ics.uci.edu/ml/machine-learning-databases/iris/iris.data,0.0,4,3,13.2,0.8157894736842105,38,0.9464285714285714,112,29.012056,"node_1
Branch node
applies a split: True
splits on: 2
split value: 0.37499999999999956
*****
node_2
Branch node
applies a split: False
splits on: None
split value: None
*****
node_3
Branch node
applies a split: True
splits on: 2
split value: 0.7017543859649124
*****
node_4
Leaf Node: True 
label: None
*****
node_5
Leaf Node: True 
label: 0
*****
node_6
Leaf Node: True 
label: 1
*****
node_7
Leaf Node: True 
label: 2
*****
",2
7,1.0,0.3392857142857143,http://archive.ics.uci.edu/ml/machine-learning-databases/iris/iris.data,0.0,4,3,19.684210526315788,1.0,38,0.9464285714285714,112,80.763334,"node_1
Branch node
applies a split: True
splits on: 2
split value: 0.6551724137931034
*****
node_2
Branch node
applies a split: True
splits on: 3
split value: 0.375
*****
node_3
Branch node
applies a split: False
splits on: None
split value: None
*****
node_4
Leaf Node: True 
label: 0
*****
node_5
Leaf Node: True 
label: 1
*****
node_6
Leaf Node: True 
label: None
*****
node_7
Leaf Node: True 
label: 2
*****
",2
8,1.0,0.36607142857142855,http://archive.ics.uci.edu/ml/machine-learning-databases/iris/iris.data,0.0,4,3,12.926829268292684,0.9736842105263158,38,0.9642857142857143,112,132.636339,"node_1
Branch node
applies a split: True
splits on: 3
split value: 0.6836158192090396
*****
node_2
Branch node
applies a split: True
splits on: 3
split value: 0.22528248587570648
*****
node_3
Branch node
applies a split: False
splits on: None
split value: None
*****
node_4
Leaf Node: True 
label: 0
*****
node_5
Leaf Node: True 
label: 1
*****
node_6
Leaf Node: True 
label: None
*****
node_7
Leaf Node: True 
label: 2
*****
",2
9,1.5,0.375,http://archive.ics.uci.edu/ml/machine-learning-databases/iris/iris.data,0.0,4,3,16.333333333333332,0.9736842105263158,38,0.9553571428571429,112,30.896948,"node_1
Branch node
applies a split: True
splits on: 2
split value: 0.6779661016949147
*****
node_2
Branch node
applies a split: True
splits on: 2
split value: 0.3389830508474576
*****
node_3
Branch node
applies a split: False
splits on: None
split value: None
*****
node_4
Leaf Node: True 
label: 0
*****
node_5
Leaf Node: True 
label: 1
*****
node_6
Leaf Node: True 
label: None
*****
node_7
Leaf Node: True 
label: 2
*****
",2
10,1.5,0.3392857142857143,http://archive.ics.uci.edu/ml/machine-learning-databases/iris/iris.data,0.0,4,3,14.789473684210526,0.9736842105263158,38,0.9642857142857143,112,194.125635,"node_1
Branch node
applies a split: True
splits on: 3
split value: 0.6842105263157892
*****
node_2
Branch node
applies a split: True
splits on: 2
split value: 0.1754385964912284
*****
node_3
Branch node
applies a split: False
splits on: None
split value: None
*****
node_4
Leaf Node: True 
label: 0
*****
node_5
Leaf Node: True 
label: 1
*****
node_6
Leaf Node: True 
label: None
*****
node_7
Leaf Node: True 
label: 2
*****
",2
