alpha,gap,objective_value,testing_accuracy,testing_instances,training_accuracy,training_instances,number_of_classes,number of features,baseline_accuracy
0.0,0.0,10.771497975708503,0.9105263157894736,38,0.9625,112,3,4,0.3517857142857143
0.5,0.0,10.315121951219513,0.9210526315789475,38,0.9696428571428573,112,3,4,0.36428571428571427
1.0,0.0,15.738239030973308,0.9526315789473683,38,0.9392857142857143,112,3,4,0.35
1.5,0.0,15.231578947368419,0.9421052631578947,38,0.9464285714285714,112,3,4,0.34285714285714286
2.0,0.0,15.961025641025639,0.8947368421052632,38,0.9517857142857142,112,3,4,0.35178571428571426
2.5,0.0,16.459109311740892,0.9157894736842106,38,0.9535714285714286,112,3,4,0.35
3.0,0.0,15.354265020288846,0.8894736842105264,38,0.95,112,3,4,0.3625
3.5,0.0,15.91458556946929,0.9315789473684211,38,0.9696428571428571,112,3,4,0.3607142857142857
4.0,0.0,19.97748592870544,0.8789473684210526,38,0.9589285714285716,112,3,4,0.35178571428571426
4.5,0.0,20.326521181001283,0.9526315789473683,38,0.9625,112,3,4,0.3535714285714286
5.0,0.0,22.00772808586762,0.9473684210526316,38,0.9535714285714285,112,3,4,0.3642857142857143
